,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,3.33,0.92,-1.32,0.72,3.33,1553641200,0.0,10.003,248.0,1.0
1,3.33,0.92,-1.32,0.72,3.33,1553644800,0.0,10.003,311.0,1.04
2,3.33,0.92,-1.01,0.73,3.33,1553648400,0.0,10.003,306.0,1.0
3,0.95,0.92,-0.31,0.79,3.02,1553652000,0.0,10.003,357.0,2.11
4,1.92,0.75,0.37,0.83,3.02,1553655600,0.0,10.003,23.0,1.35
5,2.34,0.75,0.69,0.89,2.34,1553659200,0.0,8.452,131.0,0.34
6,2.34,0.75,0.99,0.91,2.34,1553666400,0.0,8.08,,0.0
7,1.69,0.75,0.99,0.86,3.02,1553670000,1.0,7.83,71.0,1.5
8,2.04,0.83,0.99,0.82,3.71,1553673600,2.0,8.017,49.0,1.84
9,2.22,0.75,2.0,0.83,4.71,1553677200,3.0,8.452,53.0,2.91
10,5.72,,1.68,0.75,5.72,1553680800,,,,
11,4.19,0.75,0.99,0.7,6.03,1553684400,4.0,10.003,60.0,2.41
12,4.85,0.53,0.32,0.64,6.72,1553688000,4.0,10.003,39.0,2.6
13,5.67,0.75,0.63,0.62,7.4,1553691600,3.0,10.003,60.0,2.6
14,6.03,0.75,0.32,0.6,7.71,1553695200,2.0,10.003,12.0,2.6
15,5.8,0.53,0.01,0.58,7.71,1553698800,2.0,10.003,75.0,2.95
16,7.04,0.53,-0.39,0.57,7.71,1553702400,1.0,10.003,83.0,1.5
17,5.49,0.36,0.01,0.61,7.03,1553706000,0.0,10.003,41.0,2.26
18,5.97,0.75,-0.39,0.59,7.03,1553709600,0.0,10.003,30.0,1.76
19,4.82,0.75,-0.39,0.63,6.03,1553713200,0.0,10.003,44.0,1.76
20,3.85,0.53,-0.39,0.67,5.33,1553716800,0.0,10.003,63.0,1.91
21,4.64,0.53,-0.39,0.7,4.64,1553720400,0.0,10.003,71.0,1.0
22,3.33,0.44,-0.39,0.77,3.33,1553724000,0.0,10.003,58.0,0.81
