,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,3.92,0.26,1.86,0.78,clear-night,289.1,0,0,1019.9,Klar,5.39,1613862000,0,16.093,166,2.32,1.9
1,3.93,0.24,1.8,0.78,clear-night,289.3,0,0,1019.8,Klar,5.36,1613865600,0,16.093,165,2.28,1.86
2,3.94,0.09,1.59,0.76,clear-night,291.1,0,0,1019.6,Klar,5.4,1613869200,0,16.093,157,2.15,1.89
3,3.28,0.1,1.4,0.78,clear-night,291.0,0,0,1020.0,Klar,4.88,1613872800,0,16.093,158,2.13,1.96
4,2.34,0.1,1.35,0.82,clear-night,290.3,0,0,1020.0,Klar,4.18,1613876400,0,16.093,158,2.3,2.07
5,1.25,0.1,1.24,0.86,clear-night,289.9,0,0,1020.1,Klar,3.29,1613880000,0,16.093,164,2.36,2.12
6,0.46,0.09,0.94,0.88,clear-night,292.4,0,0,1020.3,Klar,2.69,1613883600,0,16.093,173,2.59,2.2
7,0.32,0.15,0.61,0.88,clear-night,291.6,0,0,1020.7,Klar,2.43,1613887200,0,16.093,173,2.36,2.05
8,0.82,0.22,0.78,0.87,clear-day,291.9,0,0,1020.7,Klar,2.72,1613890800,0,16.093,169,2.21,1.91
9,3.26,0.32,1.94,0.82,partly-cloudy-day,291.1,0,0,1020.3,Leicht bewölkt,4.74,1613894400,0,16.093,160,2.09,1.82
10,6.58,0.15,2.89,0.72,clear-day,291.2,0,0,1019.9,Klar,7.61,1613898000,1,16.093,154,2.34,1.82
11,10.35,0.09,3.4,0.62,clear-day,290.3,0,0,1019.8,Klar,10.35,1613901600,2,16.093,150,2.84,1.88
12,12.57,0.07,4.08,0.56,clear-day,290.6,0,0,1019.6,Klar,12.57,1613905200,3,16.093,143,3.38,2.04
13,13.84,0.0,4.37,0.53,clear-day,289.6,0,0,1018.8,Klar,13.84,1613908800,3,16.093,136,3.81,2.04
14,15.33,0.0,3.84,0.46,clear-day,289.6,0,0,1017.9,Klar,15.33,1613912400,2,16.093,127,4.25,2.62
15,14.95,0.0,3.82,0.47,clear-day,289.9,0,0,1017.4,Klar,14.95,1613916000,1,16.093,121,4.69,2.65
16,13.86,0.0,4.03,0.52,clear-day,293.7,0,0,1017.3,Klar,13.86,1613919600,1,16.093,118,5.07,2.59
17,11.56,0.0,3.97,0.6,clear-day,294.2,0,0,1017.3,Klar,11.56,1613923200,0,16.093,119,4.1,2.57
18,7.45,0.0,3.63,0.69,clear-night,294.2,0,0,1017.8,Klar,8.92,1613926800,0,16.093,124,4.06,2.64
19,6.01,0.01,4.07,0.78,clear-night,294.1,0,0,1018.4,Klar,7.66,1613930400,0,16.093,135,3.48,2.55
20,4.99,0.01,3.84,0.82,clear-night,295.2,0,0,1019.0,Klar,6.64,1613934000,0,16.093,140,2.96,2.32
21,4.69,0.0,3.78,0.85,clear-night,293.9,0,0,1019.4,Klar,6.08,1613937600,0,16.093,147,2.09,1.94
22,4.05,0.0,3.85,0.89,clear-night,291.9,0,0,1019.5,Klar,5.51,1613941200,0,16.093,148,2.01,1.91
23,3.59,0.0,3.5,0.9,clear-night,291.1,0,0,1019.8,Klar,5.05,1613944800,0,16.093,159,1.89,1.85
