,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-4.59,0.75,0.64,1.0,0.64,1547334000,0,7.737,230,,5.9
1,-4.5,0.75,0.64,1.0,0.64,1547337600,0,7.522,240,,5.72
2,-5.11,0.75,0.34,1.0,0.34,1547341200,0,7.522,240,,6.17
3,-2.27,0.75,0.99,0.95,1.7,1547344800,0,10.003,240,,4.11
4,-2.59,0.75,0.69,0.95,1.33,1547348400,0,8.452,229,,3.91
5,-2.82,0.92,0.69,0.95,1.33,1547352000,0,9.691,233,,4.26
6,-2.48,0.92,1.33,1.0,1.33,1547355600,0,10.003,233,,3.75
7,-2.81,0.75,1.33,1.0,1.33,1547359200,0,9.383,222,,4.25
8,-1.12,0.75,1.38,0.95,2.03,1547362800,0,10.003,218,,3.07
9,-2.82,0.75,1.33,1.0,1.33,1547366400,0,10.003,224,,4.26
10,-1.45,0.75,1.68,0.95,2.34,1547370000,0,10.003,224,,4.06
11,-2.14,0.75,1.68,0.95,2.34,1547373600,1,8.998,230,,5.28
12,-3.37,0.75,1.33,1.0,1.33,1547377200,1,8.08,225,,5.22
13,-2.76,0.75,1.38,0.95,2.03,1547380800,1,8.452,218,,5.75
14,-2.42,0.75,2.03,1.0,2.03,1547384400,1,8.452,224,,5.06
15,-1.09,0.75,2.71,1.0,2.71,1547388000,0,8.452,225,,4.22
16,-0.49,0.75,3.07,0.96,3.71,1547391600,0,10.003,230,,5.44
17,-0.07,0.75,4.02,1.0,4.02,1547395200,0,10.003,235,13.4,5.38
18,0.18,0.83,4.02,1.0,4.02,1547398800,0,9.07,225,,4.87
19,0.26,0.83,4.07,0.96,4.71,1547402400,0,9.07,228,9.8,6.66
20,0.3,0.83,4.38,0.96,5.02,1547406000,0,10.003,236,11.3,7.69
21,0.08,0.83,4.38,0.96,5.02,1547409600,0,10.003,247,13.9,8.39
22,0.27,0.83,5.07,0.98,5.33,1547413200,0,7.244,253,14.91,9.11
23,0.82,0.83,4.38,0.89,6.03,1547416800,0,10.003,265,,10.52
