,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,25.18,0.98,15.93,0.57,cloudy,294.9,0.0124,0.05,rain,1013.9,Stark bewölkt,25.13,1597356000,0,16.093,207,4.03,1.53
1,24.93,0.98,16.15,0.58,cloudy,296.4,0.0555,0.08,rain,1014.0,Stark bewölkt,24.86,1597359600,0,16.093,225,3.23,1.35
2,24.55,0.98,16.34,0.61,cloudy,297.9,0.1092,0.13,rain,1014.1,Stark bewölkt,24.47,1597363200,0,16.093,231,2.68,1.27
3,23.16,0.98,17.93,0.74,cloudy,300.6,0.3672,0.2,rain,1014.0,Stark bewölkt,22.89,1597366800,0,16.093,207,3.68,1.57
4,22.47,0.98,17.89,0.77,cloudy,301.6,0.557,0.24,rain,1013.9,Stark bewölkt,22.19,1597370400,0,16.093,161,3.91,1.56
5,21.7,0.98,17.75,0.8,rain,302.1,0.7396,0.26,rain,1014.0,Leichter Regen möglich,21.42,1597374000,0,16.093,86,4.06,1.6
6,21.09,0.98,17.8,0.83,rain,302.0,0.5202,0.29,rain,1014.1,Leichter Regen möglich,20.79,1597377600,0,16.093,28,4.02,1.82
7,21.38,0.98,18.27,0.84,rain,301.5,0.3195,0.26,rain,1014.3,Leichter Regen möglich,21.02,1597381200,0,16.093,89,3.91,2.21
8,21.56,0.93,18.53,0.85,rain,298.8,1.1245,0.48,rain,1014.6,Regen,21.17,1597384800,0,7.031,130,2.19,2.0
9,22.1,0.96,18.49,0.82,rain,298.3,0.8977,0.46,rain,1014.7,Leichter Regen möglich,21.73,1597388400,1,10.948,155,2.36,2.0
10,23.26,0.92,18.55,0.76,rain,298.2,0.469,0.37,rain,1014.7,Leichter Regen möglich,22.92,1597392000,2,16.093,188,2.83,1.99
11,24.57,0.92,18.41,0.7,cloudy,297.9,0.2266,0.25,rain,1014.7,Stark bewölkt,24.27,1597395600,3,16.093,201,3.14,1.94
12,25.65,0.9,17.94,0.63,cloudy,297.5,0.1594,0.19,rain,1014.5,Stark bewölkt,25.4,1597399200,4,16.093,175,3.05,1.85
13,27.66,0.86,17.46,0.56,partly-cloudy-day,297.1,0.143,0.17,rain,1014.3,Überwiegend bewölkt,26.85,1597402800,4,16.093,180,2.81,1.75
14,28.31,0.84,16.98,0.52,partly-cloudy-day,296.3,0.1368,0.16,rain,1014.1,Überwiegend bewölkt,27.72,1597406400,4,16.093,227,2.55,1.6
15,26.56,0.88,17.96,0.6,rain,300.6,1.1702,0.4,rain,1014.4,Regen,26.3,1597410000,4,12.499,136,2.46,1.29
16,27.62,0.92,17.83,0.58,rain,298.5,0.7998,0.34,rain,1014.0,Leichter Regen möglich,26.72,1597413600,3,16.093,197,2.15,1.67
17,26.65,0.94,17.94,0.6,rain,296.8,0.4987,0.32,rain,1013.7,Leichter Regen möglich,26.39,1597417200,2,16.093,241,2.21,1.88
18,26.65,0.94,18.06,0.6,rain,296.4,0.2181,0.25,rain,1013.7,Nieselregen möglich,26.39,1597420800,1,16.093,234,2.38,1.83
19,26.36,0.94,17.94,0.61,cloudy,296.3,0.0351,0.15,rain,1013.8,Stark bewölkt,26.11,1597424400,0,16.093,249,2.62,1.82
20,25.33,0.93,17.97,0.65,cloudy,297.6,0.0,0.0,,1014.6,Stark bewölkt,25.08,1597428000,0,16.093,230,1.09,0.9
21,24.67,0.88,17.9,0.67,cloudy,297.4,0.0,0.0,,1014.7,Stark bewölkt,24.43,1597431600,0,16.093,236,1.23,0.84
22,23.93,0.84,17.86,0.7,partly-cloudy-night,297.1,0.0066,0.08,rain,1014.8,Überwiegend bewölkt,23.69,1597435200,0,16.093,240,1.66,0.89
23,23.17,0.8,17.89,0.73,partly-cloudy-night,296.7,0.018,0.09,rain,1014.8,Überwiegend bewölkt,22.91,1597438800,0,16.093,240,2.09,0.96
