,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-1.18,0.0,-3.55,0.7,clear-night,328.7,0.0,0.0,,1026.9,Klar,1.38,1578351600,0,16.093,219,4.29,2.3
1,-1.24,0.0,-3.29,0.71,clear-night,330.5,0.0,0.0,,1026.8,Klar,1.39,1578355200,0,16.093,222,5.26,2.36
2,-0.92,0.12,-2.27,0.75,clear-night,335.5,0.0,0.0,,1027.1,Klar,1.6,1578358800,0,16.093,235,6.85,2.3
3,-1.11,0.1,-2.14,0.77,clear-night,339.8,0.0,0.0,,1027.0,Klar,1.52,1578362400,0,16.093,248,9.68,2.39
4,-1.37,0.17,-1.85,0.79,clear-night,345.3,0.0051,0.01,rain,1027.2,Klar,1.36,1578366000,0,16.093,259,11.48,2.46
5,-1.62,0.43,-1.37,0.83,partly-cloudy-night,354.0,0.0112,0.01,rain,1027.7,Leicht bewölkt,1.2,1578369600,0,16.093,247,11.29,2.52
6,-1.63,0.61,-0.89,0.86,partly-cloudy-night,363.9,0.0775,0.06,rain,1028.5,Überwiegend bewölkt,1.24,1578373200,0,16.093,270,10.06,2.58
7,-1.43,0.69,-0.63,0.86,partly-cloudy-night,369.3,0.0603,0.11,rain,1029.0,Überwiegend bewölkt,1.44,1578376800,0,16.093,257,9.09,2.63
8,-1.28,0.78,-0.56,0.85,partly-cloudy-night,368.1,0.1127,0.15,rain,1029.5,Überwiegend bewölkt,1.66,1578380400,0,16.093,223,8.92,2.74
9,-1.04,0.9,-0.36,0.85,cloudy,360.4,0.1731,0.21,rain,1030.1,Stark bewölkt,1.87,1578384000,0,16.093,290,8.86,2.75
10,-0.97,0.98,-0.27,0.85,cloudy,354.6,0.1257,0.19,rain,1030.7,Stark bewölkt,2.03,1578387600,0,16.093,264,8.56,2.88
11,-0.52,0.98,-0.03,0.84,cloudy,354.3,0.0877,0.19,rain,1031.2,Stark bewölkt,2.37,1578391200,0,16.093,256,7.87,2.84
12,0.62,0.94,0.26,0.81,cloudy,355.9,0.0572,0.12,rain,1031.3,Stark bewölkt,3.21,1578394800,1,16.093,281,6.96,2.67
13,1.56,0.86,0.36,0.78,partly-cloudy-day,355.6,0.036,0.06,rain,1031.3,Überwiegend bewölkt,3.88,1578398400,1,16.093,282,5.89,2.52
14,2.58,0.87,0.23,0.74,partly-cloudy-day,360.7,0.0053,0.04,rain,1031.6,Überwiegend bewölkt,4.5,1578402000,0,16.093,277,4.41,2.21
15,2.91,0.86,0.18,0.75,partly-cloudy-day,355.3,0.0,0.0,,1031.5,Überwiegend bewölkt,4.27,1578405600,0,16.093,294,3.38,1.66
16,3.02,0.86,0.21,0.82,partly-cloudy-day,350.1,0.0,0.0,,1031.5,Überwiegend bewölkt,3.02,1578409200,0,16.093,303,2.53,1.01
17,2.4,0.84,-0.08,0.84,partly-cloudy-night,345.4,0.0,0.0,,1031.9,Überwiegend bewölkt,2.4,1578412800,0,16.093,11,1.89,0.74
18,1.8,0.79,-0.67,0.84,partly-cloudy-night,340.9,0.0,0.0,,1032.5,Überwiegend bewölkt,1.8,1578416400,0,16.093,102,1.43,0.97
19,1.4,0.72,-1.0,0.84,partly-cloudy-night,337.3,0.0,0.0,,1032.8,Überwiegend bewölkt,1.4,1578420000,0,16.093,135,1.27,1.15
20,-0.24,0.59,-0.99,0.85,partly-cloudy-night,329.4,0.0,0.0,,1033.0,Leicht bewölkt,1.21,1578423600,0,16.093,164,1.82,1.42
21,-0.93,0.53,-1.26,0.86,partly-cloudy-night,328.8,0.0,0.0,,1032.2,Leicht bewölkt,0.89,1578427200,0,16.093,169,2.18,1.62
22,-1.69,0.42,-1.35,0.88,partly-cloudy-night,327.5,0.0,0.0,,1031.8,Leicht bewölkt,0.43,1578430800,0,16.093,172,2.49,1.79
23,-2.1,0.56,-1.54,0.88,partly-cloudy-night,324.5,0.0,0.0,,1031.4,Leicht bewölkt,0.23,1578434400,0,16.093,177,2.65,1.93
