,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-1.44,1.0,-0.19,0.88,cloudy,343.3,0.0276,0.04,rain,998.3,Stark bewölkt,1.53,1612134000,0,16.093,136,5.47,2.74
1,-1.16,1.0,0.01,0.89,cloudy,342.9,0.0363,0.09,rain,997.6,Stark bewölkt,1.57,1612137600,0,12.236,135,4.56,2.5
2,-0.91,0.99,0.24,0.89,cloudy,341.4,0.0564,0.1,rain,996.7,Stark bewölkt,1.82,1612141200,0,12.264,138,4.67,2.55
3,-0.94,1.0,0.22,0.88,cloudy,341.4,0.1732,0.23,rain,995.9,Stark bewölkt,1.93,1612144800,0,12.908,139,5.68,2.71
4,-0.73,1.0,0.33,0.88,rain,339.8,0.2403,0.29,rain,995.5,Leichter Regen möglich,2.09,1612148400,0,10.774,142,5.77,2.69
5,-0.31,0.99,0.47,0.88,rain,340.9,0.3628,0.43,rain,995.3,Leichter Regen möglich,2.27,1612152000,0,12.647,140,4.33,2.48
6,-0.49,0.99,0.37,0.87,rain,343.8,0.5337,0.52,rain,995.1,Leichter Regen möglich,2.25,1612155600,0,16.093,157,6.04,2.64
7,-0.4,0.99,0.74,0.88,rain,351.8,0.6567,0.56,rain,995.4,Leichter Regen möglich,2.5,1612159200,0,16.093,160,6.54,2.88
8,-0.52,0.99,0.77,0.87,rain,356.8,0.3888,0.43,rain,995.1,Leichter Regen möglich,2.7,1612162800,0,16.093,167,8.24,3.34
9,-0.56,0.99,0.92,0.87,rain,360.8,0.4657,0.5,rain,995.4,Leichter Regen möglich,2.89,1612166400,0,16.093,170,9.57,3.74
10,-0.53,0.98,0.79,0.86,rain,366.9,0.3881,0.42,rain,995.3,Leichter Regen möglich,2.86,1612170000,0,9.433,176,9.54,3.64
11,-0.5,1.0,1.14,0.87,rain,372.7,0.6189,0.53,rain,995.6,Leichter Regen möglich,3.1,1612173600,1,14.029,186,10.79,4.04
12,0.55,0.99,1.98,0.87,rain,374.9,0.463,0.52,rain,995.9,Leichter Regen möglich,3.88,1612177200,1,16.093,199,10.26,3.9
13,1.23,1.0,2.67,0.89,rain,371.2,0.4605,0.53,rain,995.4,Leichter Regen möglich,4.37,1612180800,1,16.093,216,9.44,3.75
14,1.72,1.0,2.69,0.87,rain,367.4,0.4727,0.53,rain,995.7,Leichter Regen möglich,4.62,1612184400,1,14.425,214,9.38,3.47
15,2.03,1.0,2.99,0.88,rain,363.8,0.6823,0.61,rain,995.8,Leichter Regen möglich,4.88,1612188000,0,16.093,219,10.1,3.48
16,2.15,0.99,3.26,0.89,rain,360.7,0.5683,0.56,rain,996.5,Leichter Regen möglich,4.94,1612191600,0,10.194,230,10.03,3.41
17,2.13,0.99,3.29,0.9,rain,360.9,0.4913,0.53,rain,997.4,Leichter Regen möglich,4.82,1612195200,0,15.135,232,9.03,3.22
18,1.97,0.99,3.3,0.9,rain,367.2,0.3611,0.51,rain,998.7,Leichter Regen möglich,4.79,1612198800,0,16.093,243,9.57,3.39
19,2.48,0.98,3.51,0.89,rain,370.2,0.3217,0.51,rain,1000.1,Leichter Regen möglich,5.14,1612202400,0,16.093,245,9.14,3.29
20,2.54,0.98,3.46,0.89,rain,367.2,0.3678,0.54,rain,1000.7,Leichter Regen möglich,5.06,1612206000,0,16.093,243,7.88,3.06
21,2.81,0.98,3.54,0.89,rain,355.6,0.769,0.63,rain,1001.7,Leichter Regen möglich,5.24,1612209600,0,6.981,229,9.37,2.99
22,2.92,0.98,3.37,0.87,rain,351.6,0.7239,0.59,rain,1002.6,Leichter Regen möglich,5.3,1612213200,0,14.946,233,9.09,2.92
23,2.46,0.99,3.26,0.86,rain,349.3,0.5476,0.54,rain,1003.6,Leichter Regen möglich,5.37,1612216800,0,15.002,265,10.11,3.74
