,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,2.09,0.86,3.37,0.85,partly-cloudy-night,334.9,0.0606,0.18,rain,1007.9,Überwiegend bewölkt,5.67,1611874800,0,16.093,249,15.56,5.19
1,2.36,0.9,3.3,0.84,rain,336.8,0.1606,0.39,rain,1006.4,Nieselregen möglich,5.75,1611878400,0,16.093,247,14.34,4.81
2,2.3,0.99,3.29,0.86,rain,340.7,0.243,0.5,rain,1005.7,Leichter Regen möglich,5.52,1611882000,0,16.093,238,12.93,4.35
3,2.6,1.0,3.27,0.86,rain,342.4,0.6407,0.7,rain,1004.7,Leichter Regen,5.43,1611885600,0,11.168,222,12.46,3.64
4,2.42,1.0,3.26,0.86,rain,343.1,0.996,0.74,rain,1003.5,Regen,5.34,1611889200,0,11.176,215,13.15,3.74
5,2.27,1.0,3.25,0.85,rain,345.9,0.5034,0.67,rain,1001.9,Leichter Regen,5.49,1611892800,0,8.867,218,14.75,4.35
6,2.0,1.0,3.23,0.85,rain,350.2,0.3313,0.61,rain,1000.2,Leichter Regen möglich,5.49,1611896400,0,9.163,218,15.11,4.89
7,1.78,1.0,3.33,0.85,rain,353.5,0.6044,0.68,rain,1000.0,Leichter Regen,5.72,1611900000,0,16.093,231,16.06,6.07
8,1.86,1.0,3.51,0.83,rain,355.9,0.8556,0.72,rain,999.7,Leichter Regen und frische Brise,6.13,1611903600,0,14.946,244,17.72,7.29
9,2.13,1.0,2.73,0.78,rain,360.2,0.55,0.58,rain,1000.1,Leichter Regen möglich und frische Brise,6.37,1611907200,0,16.093,258,17.72,7.43
10,2.13,0.99,2.78,0.78,rain,361.1,0.579,0.52,rain,1001.0,Leichter Regen möglich,6.37,1611910800,0,16.093,258,17.31,7.43
11,1.91,0.82,2.31,0.76,rain,362.2,0.3244,0.44,rain,1001.6,Leichter Regen möglich,6.25,1611914400,1,16.093,259,17.17,7.64
12,2.06,0.93,2.23,0.75,rain,365.8,0.4049,0.5,rain,1002.1,Leichter Regen möglich,6.27,1611918000,1,16.093,260,16.53,7.26
13,2.66,0.9,2.44,0.75,rain,364.3,0.4891,0.55,rain,1002.1,Leichter Regen möglich,6.53,1611921600,1,16.093,258,15.37,6.49
14,2.07,0.89,1.4,0.72,rain,366.4,0.2798,0.42,rain,1002.1,Leichter Regen möglich,6.0,1611925200,1,16.093,258,15.35,6.27
15,1.62,0.95,1.83,0.76,rain,368.3,0.212,0.45,rain,1001.8,Nieselregen möglich,5.65,1611928800,0,16.093,257,15.15,6.26
16,1.05,0.99,2.56,0.83,rain,368.1,0.3019,0.54,rain,1001.9,Leichter Regen möglich,5.16,1611932400,0,16.093,254,15.11,6.13
17,0.64,0.99,2.67,0.87,rain,366.8,0.3865,0.58,rain,1002.1,Leichter Regen möglich,4.67,1611936000,0,16.093,255,14.69,5.61
18,0.39,0.99,2.46,0.87,rain,362.0,0.4851,0.6,rain,1002.1,Leichter Regen möglich,4.46,1611939600,0,14.677,254,15.04,5.58
19,0.46,0.98,1.89,0.84,rain,365.5,0.3891,0.5,rain,1003.0,Leichter Regen möglich,4.4,1611943200,0,16.093,249,13.67,5.25
20,0.15,1.0,1.97,0.85,rain,366.5,0.4927,0.57,rain,1003.1,Leichter Regen möglich,4.28,1611946800,0,16.093,249,13.22,5.6
21,-0.21,0.98,1.79,0.85,rain,359.2,0.4782,0.56,rain,1003.4,Leichter Regen möglich,4.09,1611950400,0,14.426,250,12.64,5.88
22,-0.36,0.96,1.76,0.85,rain,350.2,0.421,0.55,rain,1003.7,Leichter Regen möglich,4.11,1611954000,0,16.093,251,13.04,6.3
23,-0.43,0.99,1.52,0.84,rain,348.9,0.5849,0.59,rain,1004.0,Leichter Regen möglich,4.01,1611957600,0,16.093,252,12.58,6.19
