,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,5.8,0.99,6.3,0.82,rain,313.8,0.1998,0.27,rain,993.8,Nieselregen möglich,9.2,1611270000,0,16.093,201,15.43,7.4
1,6.59,0.97,5.71,0.76,cloudy,315.0,0.1347,0.21,rain,993.1,Stark bewölkt,9.75,1611273600,0,16.093,197,15.16,7.1
2,6.3,0.93,5.73,0.77,rain,314.7,0.2431,0.28,rain,992.4,Leichter Regen möglich,9.56,1611277200,0,16.093,197,15.36,7.28
3,5.6,0.99,5.91,0.8,rain,313.9,0.3894,0.46,rain,992.0,Leichter Regen möglich,9.12,1611280800,0,16.093,198,16.02,7.77
4,5.35,0.94,5.96,0.81,rain,313.3,0.4483,0.5,rain,991.5,Leichter Regen möglich,8.98,1611284400,0,16.093,199,15.54,7.96
5,5.28,0.99,6.1,0.82,rain,316.5,0.5356,0.56,rain,991.4,Leichter Regen möglich,8.93,1611288000,0,16.093,208,16.63,8.0
6,5.21,0.99,5.95,0.82,rain,317.8,0.5059,0.58,rain,991.4,Leichter Regen möglich,8.79,1611291600,0,16.093,219,16.79,7.56
7,4.93,0.99,5.9,0.84,rain,315.7,0.6817,0.73,rain,991.6,Leichter Regen,8.47,1611295200,0,16.093,212,16.04,7.12
8,4.73,0.99,6.07,0.87,rain,314.5,1.5609,0.82,rain,992.0,Regen,8.03,1611298800,0,16.093,166,14.67,6.03
9,4.52,0.99,6.14,0.91,rain,313.9,2.1521,0.85,rain,992.5,Regen,7.45,1611302400,0,12.466,327,11.46,4.73
10,4.36,0.99,5.25,0.91,rain,313.8,1.6387,0.83,rain,993.2,Regen,6.68,1611306000,0,16.093,293,6.73,3.25
11,3.67,0.99,4.08,0.88,rain,312.1,1.2035,0.74,rain,994.0,Regen,5.85,1611309600,1,16.093,275,5.79,2.8
12,3.04,0.94,3.19,0.87,rain,312.9,0.7799,0.59,rain,994.6,Leichter Regen möglich,5.24,1611313200,1,16.093,318,4.32,2.68
13,2.18,0.94,1.88,0.83,rain,314.0,0.4984,0.41,rain,995.2,Leichter Regen möglich,4.58,1611316800,1,16.093,325,5.25,2.77
14,3.69,0.96,1.05,0.77,rain,316.9,0.3024,0.3,rain,995.7,Leichter Regen möglich,4.69,1611320400,1,16.093,25,4.41,1.43
15,5.03,0.93,1.13,0.76,cloudy,320.4,0.0974,0.17,rain,995.6,Stark bewölkt,5.03,1611324000,0,16.093,87,3.51,1.06
16,5.2,0.8,1.36,0.76,partly-cloudy-day,321.3,0.0095,0.11,rain,995.9,Überwiegend bewölkt,5.2,1611327600,0,16.093,103,3.43,0.98
17,4.79,0.89,1.38,0.79,cloudy,323.1,0.0,0.0,,996.0,Stark bewölkt,4.79,1611331200,0,16.093,93,3.73,1.0
18,4.41,0.95,1.68,0.82,cloudy,324.6,0.0,0.0,,996.5,Stark bewölkt,4.41,1611334800,0,16.093,107,4.66,1.19
19,4.68,0.99,2.26,0.84,cloudy,326.7,0.0078,0.08,rain,997.2,Stark bewölkt,4.68,1611338400,0,16.093,95,4.62,1.21
20,3.54,0.99,2.13,0.84,cloudy,327.2,0.0133,0.1,rain,996.9,Stark bewölkt,4.65,1611342000,0,16.093,48,5.25,1.5
21,3.07,0.97,2.1,0.84,cloudy,327.5,0.091,0.17,rain,997.1,Stark bewölkt,4.54,1611345600,0,16.093,354,5.07,1.78
22,2.75,0.96,1.99,0.85,cloudy,329.1,0.0679,0.13,rain,997.1,Stark bewölkt,4.32,1611349200,0,16.093,314,5.28,1.84
23,2.48,0.96,1.87,0.85,cloudy,329.6,0.086,0.18,rain,997.2,Stark bewölkt,4.14,1611352800,0,16.093,296,5.8,1.89
