,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,1.2,0.99,1.51,0.88,rain,366.7,0.5853,0.65,rain,992.8,Leichter Regen möglich,3.26,1611442800,0,16.093,168,4.76,2.12
1,1.34,0.99,1.57,0.89,rain,358.1,0.4078,0.57,rain,992.1,Leichter Regen möglich,3.17,1611446400,0,16.093,186,3.76,1.91
2,0.43,0.99,1.13,0.87,rain,356.4,0.4356,0.54,rain,992.2,Leichter Regen möglich,3.07,1611450000,0,16.093,204,5.04,2.71
3,-0.25,0.99,1.1,0.88,rain,356.6,0.4743,0.57,rain,992.3,Leichter Regen möglich,2.85,1611453600,0,10.242,209,5.18,3.22
4,-1.16,0.99,0.93,0.89,rain,357.5,0.5562,0.66,rain,992.6,Leichter Regen,2.49,1611457200,0,3.897,230,6.64,3.91
5,-2.55,0.97,0.02,0.85,rain,359.2,0.5274,0.65,rain,993.4,Leichter Regen möglich,2.27,1611460800,0,5.862,264,11.78,5.96
6,-3.22,0.99,-1.49,0.78,rain,361.1,0.307,0.39,rain,994.3,Leichter Regen möglich,1.95,1611464400,0,16.093,265,13.04,6.56
7,-3.74,0.99,-0.99,0.83,rain,366.2,0.3278,0.59,rain,995.1,Leichter Regen möglich,1.52,1611468000,0,2.751,260,12.35,6.47
8,-3.96,0.99,-1.05,0.83,rain,366.9,0.3476,0.59,rain,995.9,Leichter Regen möglich,1.55,1611471600,0,4.695,265,13.2,7.08
9,-3.91,0.99,-1.3,0.81,rain,367.7,0.3054,0.54,rain,996.9,Leichter Regen möglich,1.64,1611475200,0,12.455,265,13.06,7.24
10,-3.63,0.99,-0.7,0.84,rain,366.6,0.3841,0.61,rain,997.6,Leichter Regen möglich,1.79,1611478800,0,4.595,269,13.08,7.04
11,-2.9,0.99,-0.94,0.79,rain,367.6,0.2951,0.51,rain,998.5,Leichter Regen möglich,2.35,1611482400,1,13.767,263,13.48,7.01
12,-2.06,0.99,-1.32,0.74,rain,368.1,0.2485,0.43,rain,999.3,Leichter Regen möglich,2.86,1611486000,1,15.049,307,11.86,6.54
13,-1.22,0.9,-1.11,0.73,rain,366.5,0.1753,0.27,rain,1000.4,Nieselregen möglich,3.27,1611489600,1,10.797,275,10.15,5.8
14,0.04,0.91,-1.15,0.69,cloudy,368.1,0.0319,0.09,rain,1000.9,Stark bewölkt,3.98,1611493200,1,13.897,268,8.76,5.04
15,0.74,0.82,-1.13,0.67,partly-cloudy-day,371.7,0.0217,0.09,rain,1001.3,Überwiegend bewölkt,4.37,1611496800,0,16.093,261,7.53,4.62
16,0.63,0.82,-1.5,0.67,partly-cloudy-day,371.5,0.0144,0.07,rain,1001.6,Überwiegend bewölkt,4.08,1611500400,0,16.093,257,6.87,4.17
17,-0.41,0.78,-1.75,0.71,partly-cloudy-day,369.0,0.021,0.07,rain,1001.9,Überwiegend bewölkt,3.06,1611504000,0,16.093,247,7.73,3.81
18,-1.26,0.89,-2.0,0.75,cloudy,368.0,0.0321,0.06,rain,1002.1,Stark bewölkt,2.03,1611507600,0,16.093,244,8.19,3.25
19,-0.91,0.93,-2.03,0.76,cloudy,366.9,0.0226,0.03,rain,1002.2,Stark bewölkt,1.69,1611511200,0,16.093,232,7.19,2.39
20,-0.67,0.68,-1.85,0.8,partly-cloudy-night,368.9,0.0468,0.02,rain,1001.9,Überwiegend bewölkt,1.19,1611514800,0,16.093,204,3.65,1.69
21,-0.99,0.71,-1.96,0.8,partly-cloudy-night,371.3,0.0893,0.03,rain,1001.9,Überwiegend bewölkt,1.02,1611518400,0,16.093,177,3.87,1.78
22,-1.08,1.0,-2.15,0.8,cloudy,376.2,0.1082,0.04,rain,1001.6,Stark bewölkt,0.87,1611522000,0,16.093,170,4.29,1.72
23,-1.27,0.97,-2.42,0.8,cloudy,377.4,0.0752,0.03,rain,1001.4,Stark bewölkt,0.55,1611525600,0,16.093,165,4.69,1.6
