,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,3.74,0.97,-3.93,0.5,cloudy,311.3,0,0,1018.2,Stark bewölkt,5.78,1579042800,0,16.093,179,4.63,2.6
1,3.7,0.86,-4.07,0.5,partly-cloudy-night,311.7,0,0,1018.1,Überwiegend bewölkt,5.67,1579046400,0,16.093,177,4.14,2.49
2,3.39,0.68,-4.14,0.5,partly-cloudy-night,313.8,0,0,1017.8,Überwiegend bewölkt,5.35,1579050000,0,16.093,176,3.79,2.42
3,3.53,0.76,-3.36,0.53,partly-cloudy-night,312.8,0,0,1017.7,Überwiegend bewölkt,5.42,1579053600,0,16.093,171,3.43,2.34
4,2.59,0.89,-3.69,0.55,cloudy,312.3,0,0,1017.5,Stark bewölkt,4.54,1579057200,0,16.093,172,3.14,2.25
5,1.47,0.82,-4.05,0.58,partly-cloudy-night,312.9,0,0,1017.7,Überwiegend bewölkt,3.56,1579060800,0,16.093,170,2.96,2.2
6,0.61,0.38,-4.32,0.6,partly-cloudy-night,314.0,0,0,1018.8,Leicht bewölkt,2.75,1579064400,0,16.093,171,2.85,2.13
7,0.57,0.36,-4.21,0.6,partly-cloudy-night,312.6,0,0,1019.3,Leicht bewölkt,2.88,1579068000,0,16.093,177,3.24,2.31
8,0.49,0.34,-4.07,0.61,partly-cloudy-night,313.1,0,0,1019.4,Leicht bewölkt,2.68,1579071600,0,16.093,183,2.78,2.15
9,0.97,0.22,-3.53,0.63,clear-day,313.5,0,0,1019.3,Klar,2.91,1579075200,0,16.093,183,2.43,1.97
10,3.07,0.17,-2.57,0.6,clear-day,313.2,0,0,1019.3,Klar,4.55,1579078800,0,16.093,181,2.47,1.79
11,5.84,0.07,-1.04,0.57,clear-day,311.5,0,0,1019.4,Klar,6.89,1579082400,1,16.093,185,4.26,1.73
12,9.11,0.13,0.64,0.53,clear-day,309.0,0,0,1018.9,Klar,9.67,1579086000,1,16.093,213,6.83,1.66
13,10.94,0.16,1.59,0.52,clear-day,306.9,0,0,1018.7,Klar,10.94,1579089600,1,16.093,236,8.73,1.81
14,11.72,0.25,0.85,0.47,clear-day,317.0,0,0,1018.8,Klar,11.72,1579093200,1,16.093,231,7.72,2.31
15,10.78,0.47,0.97,0.51,partly-cloudy-day,315.4,0,0,1019.2,Leicht bewölkt,10.78,1579096800,0,16.093,232,8.37,2.95
16,6.82,0.6,1.21,0.59,partly-cloudy-day,314.2,0,0,1019.7,Überwiegend bewölkt,8.69,1579100400,0,16.093,232,9.14,3.18
17,5.8,0.47,1.36,0.64,partly-cloudy-night,313.8,0,0,1020.7,Leicht bewölkt,7.82,1579104000,0,16.093,228,10.28,3.14
18,4.98,0.53,1.13,0.66,partly-cloudy-night,313.9,0,0,1021.8,Leicht bewölkt,7.16,1579107600,0,16.093,228,11.55,3.17
19,4.68,0.69,1.35,0.68,partly-cloudy-night,313.8,0,0,1023.0,Überwiegend bewölkt,6.89,1579111200,0,16.093,228,12.61,3.15
20,4.44,0.68,1.79,0.71,partly-cloudy-night,312.0,0,0,1023.3,Überwiegend bewölkt,6.72,1579114800,0,16.093,222,8.72,3.2
21,4.25,0.16,1.88,0.72,clear-night,312.1,0,0,1023.7,Klar,6.58,1579118400,0,16.093,224,11.95,3.22
22,4.11,0.22,2.08,0.74,clear-night,313.1,0,0,1024.3,Klar,6.39,1579122000,0,16.093,225,13.96,3.09
23,4.11,0.58,2.24,0.75,partly-cloudy-night,315.6,0,0,1025.0,Leicht bewölkt,6.3,1579125600,0,16.093,223,13.63,2.92
